start,end,load
2020-12-31 09:00:00-05:00,2020-12-31 10:00:00-05:00,75849.45
2020-12-31 10:00:00-05:00,2020-12-31 11:00:00-05:00,76941.78
2020-12-31 11:00:00-05:00,2020-12-31 12:00:00-05:00,77346.87
2020-12-31 12:00:00-05:00,2020-12-31 13:00:00-05:00,76725.84
2020-12-31 13:00:00-05:00,2020-12-31 14:00:00-05:00,75767.42
2020-12-31 14:00:00-05:00,2020-12-31 15:00:00-05:00,75028.33
2020-12-31 15:00:00-05:00,2020-12-31 16:00:00-05:00,74652.95
2020-12-31 16:00:00-05:00,2020-12-31 17:00:00-05:00,75173.57
2020-12-31 17:00:00-05:00,2020-12-31 18:00:00-05:00,77772.57
2020-12-31 18:00:00-05:00,2020-12-31 19:00:00-05:00,80441.06
2020-12-31 19:00:00-05:00,2020-12-31 20:00:00-05:00,79317.68
2020-12-31 20:00:00-05:00,2020-12-31 21:00:00-05:00,77182.09
2020-12-31 21:00:00-05:00,2020-12-31 22:00:00-05:00,75171.47
2020-12-31 22:00:00-05:00,2020-12-31 23:00:00-05:00,73118.58
2020-12-31 23:00:00-05:00,2021-01-01 00:00:00-05:00,70798.22
2021-01-01 00:00:00-05:00,2021-01-01 01:00:00-05:00,68692.36
2021-01-01 01:00:00-05:00,2021-01-01 02:00:00-05:00,66772.44
2021-01-01 02:00:00-05:00,2021-01-01 03:00:00-05:00,65445.51
2021-01-01 03:00:00-05:00,2021-01-01 04:00:00-05:00,64555.01
2021-01-01 04:00:00-05:00,2021-01-01 05:00:00-05:00,64160.83
2021-01-01 05:00:00-05:00,2021-01-01 06:00:00-05:00,64771.48
2021-01-01 06:00:00-05:00,2021-01-01 07:00:00-05:00,66101.96
2021-01-01 07:00:00-05:00,2021-01-01 08:00:00-05:00,67575.51
2021-01-01 08:00:00-05:00,2021-01-01 09:00:00-05:00,68848.62
2021-01-01 09:00:00-05:00,2021-01-01 10:00:00-05:00,70401.26
2021-01-01 10:00:00-05:00,2021-01-01 11:00:00-05:00,71966.76
2021-01-01 11:00:00-05:00,2021-01-01 12:00:00-05:00,72739.89
2021-01-01 12:00:00-05:00,2021-01-01 13:00:00-05:00,72834.2
2021-01-01 13:00:00-05:00,2021-01-01 14:00:00-05:00,72282.38
2021-01-01 14:00:00-05:00,2021-01-01 15:00:00-05:00,71490.62
2021-01-01 15:00:00-05:00,2021-01-01 16:00:00-05:00,70854.48
2021-01-01 16:00:00-05:00,2021-01-01 17:00:00-05:00,71036.57
2021-01-01 17:00:00-05:00,2021-01-01 18:00:00-05:00,73373.07
