start,end,node,lmp,mlc,mcc
2024-02-09 17:00:00-05:00,2024-02-09 18:00:00-05:00,ARKANSAS.HUB,20.44,-0.97,-2.51
2024-02-09 17:00:00-05:00,2024-02-09 18:00:00-05:00,ILLINOIS.HUB,23.14,-0.78,0.0
2024-02-09 17:00:00-05:00,2024-02-09 18:00:00-05:00,INDIANA.HUB,24.63,0.71,0.0
2024-02-09 17:00:00-05:00,2024-02-09 18:00:00-05:00,LOUISIANA.HUB,22.02,0.06,-1.96
2024-02-09 17:00:00-05:00,2024-02-09 18:00:00-05:00,MICHIGAN.HUB,24.64,0.75,-0.03
2024-02-09 17:00:00-05:00,2024-02-09 18:00:00-05:00,MINN.HUB,26.56,0.07,2.57
2024-02-09 17:00:00-05:00,2024-02-09 18:00:00-05:00,MS.HUB,18.38,-0.59,-4.95
2024-02-09 17:00:00-05:00,2024-02-09 18:00:00-05:00,TEXAS.HUB,23.32,0.02,-0.62
