start,end,node,lmp,mlc,mcc
2024-02-09 17:40:00-05:00,2024-02-09 17:45:00-05:00,ARKANSAS.HUB,18.62,-0.77,0.0
2024-02-09 17:40:00-05:00,2024-02-09 17:45:00-05:00,ILLINOIS.HUB,19.23,-0.16,0.0
2024-02-09 17:40:00-05:00,2024-02-09 17:45:00-05:00,INDIANA.HUB,19.89,0.5,0.0
2024-02-09 17:40:00-05:00,2024-02-09 17:45:00-05:00,LOUISIANA.HUB,19.44,0.05,0.0
2024-02-09 17:40:00-05:00,2024-02-09 17:45:00-05:00,MICHIGAN.HUB,18.23,0.04,-1.2
2024-02-09 17:40:00-05:00,2024-02-09 17:45:00-05:00,MINN.HUB,19.15,-0.28,0.04
2024-02-09 17:40:00-05:00,2024-02-09 17:45:00-05:00,MS.HUB,19.09,-0.3,0.0
2024-02-09 17:40:00-05:00,2024-02-09 17:45:00-05:00,TEXAS.HUB,19.4,0.01,0.0
